start_time,end_time,lyric_text
94.51608649999999,95.16124749999999,틈
95.16124749999999,95.48382799999999,새
95.48382799999999,95.80640849999999,어
95.80640849999999,96.12898899999999,나
96.12898899999999,96.45156949999999,온
96.45156949999999,97.09673049999999,눈
97.09673049999999,99.03221349999998,물
99.03221349999998,99.19350374999999,터
99.19350374999999,99.35479399999998,트
99.35479399999998,99.67737449999998,려
99.67737449999998,100.32253549999999,보
100.32253549999999,103.22576,네
103.22576,104.83866249999998,아
104.83866249999998,105.16124299999998,뭐
105.16124299999998,105.48382349999999,가
105.48382349999999,105.80640399999999,그
105.80640399999999,106.12898449999999,리
106.12898449999999,106.45156499999999,샘
106.45156499999999,106.77414549999999,이
106.77414549999999,107.41930649999999,났
107.41930649999999,108.06446749999999,길
108.06446749999999,108.7096285,래
108.7096285,108.87091874999999,그
